  A   Z Nuc Mass (MeV)
 81  35      75355.231
 81  36      75355.006
 81  37      75356.739
 81  38      75360.162
 81  39      75365.472
 81  40      75373.220
 82  30      76324.921
 82  31      76313.797
 82  32      76300.806
 82  33      76295.609
 82  34      76287.614
 82  35      76287.203
 82  36      76283.604
 82  37      76287.502
 82  38      76287.174
 82  39      76294.615
 82  40      76298.543
 83  31      77248.965
 83  32      77236.739
 83  33      77227.539
 83  34      77221.362
 83  35      77217.182
 83  36      77215.699
 83  37      77216.114
 83  38      77217.881
 83  39      77221.967
 83  40      77227.756
 83  41      77235.607
 84  32      78171.061
 84  33      78162.849
 84  34      78152.249
 84  35      78149.907
 84  36      78144.745
 84  37      78146.919
 84  38      78145.523
 84  39      78151.773
 84  40      78153.740
 84  41      78163.438
 85  32      79107.580
 85  33      79097.008
 85  34      79087.277
 85  35      79080.609
 85  36      79077.198
 85  37      79076.005
 85  38      79076.563
 85  39      79079.319
 85  40      79083.481
 85  41      79089.871
 85  42      79098.137
 86  32      80042.798
 86  33      80032.729
 86  34      80020.681
 86  35      80015.046
 86  36      80006.907
 86  37      80006.919
 86  38      80004.638
 86  39      80009.372
 86  40      80010.181
 86  41      80018.511
 86  42      80023.030
 87  33      80967.567
 87  34      80956.252
 87  35      80948.281
 87  36      80940.957
 87  37      80936.563
 87  38      80935.775
 87  39      80937.131
 87  40      80940.297
 87  41      80945.265
 87  42      80951.750
 87  43      80960.440
 88  34      81890.289
 88  35      81882.951
 88  36      81873.469
 88  37      81870.046
 88  38      81864.227
 88  39      81867.345
 88  40      81867.510
 88  41      81874.460
 88  42      81877.442
 88  43      81887.943
 89  34      82826.674
 89  35      82816.886
 89  36      82808.119
 89  37      82802.436
 89  38      82797.434
 89  39      82795.429
 89  40      82797.757
 89  41      82801.502
 89  42      82806.608
 89  43      82813.723
 90  34      83761.361
 90  35      83752.654
 90  36      83741.189
 90  37      83736.278
 90  38      83729.189
 90  39      83728.138
 90  40      83725.354
 90  41      83730.960
 90  42      83732.944
 90  43      83741.888
 90  44      83747.224
 91  34      84698.075
 91  35      84687.041
 91  36      84676.669
 91  37      84669.392
 91  38      84662.979
 91  39      84659.775
 91  40      84657.725
 91  41      84658.478
 91  42      84662.402
 91  43      84668.120
 91  44      84675.362
 92  35      85623.410
 92  36      85610.368
 92  37      85603.859
 92  38      85595.258
 92  39      85592.803
 92  40      85588.656
 92  41      85590.156
 92  42      85589.296
 92  43      85596.675
 92  44      85600.795
 92  45      85611.593
 93  35      86558.247
 93  36      86546.495
 93  37      86537.505
 93  38      86529.534
 93  39      86524.887
 93  40      86521.487
 93  41      86520.891
 93  42      86520.792
 93  43      86523.488
 93  44      86529.373
 93  45      86537.074
 94  36      87480.777
 94  37      87473.056
 94  38      87462.268
 94  39      87458.257
 94  40      87452.834
 94  41      87453.229
 94  42      87450.679
 94  43      87454.430
 94  44      87455.501
 94  45      87464.673
 94  46      87470.974
 95  36      88417.460
 95  37      88407.222
 95  38      88397.488
 95  39      88390.893
 95  40      88385.937
 95  41      88384.306
 95  42      88382.875
 95  43      88384.061
 95  44      88386.121
 95  45      88390.734
 95  46      88398.604
 96  36      89352.034
 96  37      89343.253
 96  38      89331.178
 96  39      89325.260
 96  40      89317.652
 96  41      89316.983
 96  42      89313.286
 96  43      89315.755
 96  44      89314.992
 96  45      89320.881
 96  46      89323.881
 96  47      89335.049
 97  36      90289.184
 97  37      90277.582
 97  38      90267.014
 97  39      90258.969
 97  40      90251.643
 97  41      90248.474
 97  42      90246.031
 97  43      90245.846
 97  44      90246.446
 97  45      90249.465
 97  46      90253.753
 97  47      90260.229
 98  37      91213.226
 98  38      91200.667
 98  39      91194.290
 98  40      91184.793
 98  41      91182.050
 98  42      91176.954
 98  43      91178.133
 98  44      91175.836
 98  45      91180.381
 98  46      91181.732
 98  47      91189.483
 98  48      91194.409
 99  37      92147.969
 99  38      92136.063
 99  39      92127.429
 99  40      92119.953
 99  41      92114.733
 99  42      92110.594
 99  43      92108.731
 99  44      92107.929
 99  45      92109.469
 99  46      92112.364
 99  47      92117.331
 99  48      92123.608
100  37      93084.337
100  38      93070.257
100  39      93062.245
100  40      93052.690
100  41      93048.765
100  42      93041.865
100  43      93041.532
100  44      93037.821
100  45      93040.954
100  46      93040.828
100  47      93047.399
100  48      93050.839
100  49      93060.217
100  50      93066.745
101  38      94006.247
101  39      93996.006
101  40      93987.396
101  41      93981.165
101  42      93976.032
101  43      93972.703
101  44      93970.585
101  45      93970.626
101  46      93972.103
101  47      93975.697
101  48      93980.691
101  50      93995.216
102  38      94940.907
102  39      94931.388
102  40      94920.468
102  41      94915.246
102  42      94907.480
102  43      94905.968
102  44      94900.931
102  45      94902.750
102  46      94901.126
102  47      94906.279
102  48      94908.362
102  49      94916.824
102  50      94922.081
103  39      95865.597
103  40      95855.734
103  41      95848.016
103  42      95841.579
103  43      95837.432
103  44      95834.264
103  45      95832.995
103  46      95833.066
103  47      95835.217
103  48      95838.864
103  49      95844.380
103  50      95851.537
104  40      96789.320
104  41      96782.720
104  42      96773.684
104  43      96771.026
104  44      96764.930
104  45      96765.562
104  46      96762.622
104  47      96766.397
104  48      96767.042
104  49      96774.324
104  50      96778.377
104  51      96790.328
105  39      97735.773
105  40      97725.073
105  41      97716.117
105  42      97708.191
105  43      97702.734
105  44      97698.585
105  45      97696.164
105  46      97695.093
105  47      97695.937
105  48      97698.170
105  49      97702.360
105  50      97708.160
105  51      97716.980
105  52      97727.681
106  40      98659.482
106  41      98651.324
106  42      98640.888
106  43      98636.742
106  44      98629.690
106  45      98629.147
106  46      98625.098
106  47      98627.559
106  48      98626.866
106  49      98632.887
106  50      98635.638
106  51      98646.016
106  52      98653.767
107  40      99595.147
107  41      99585.297
107  42      99575.965
107  43      99569.262
107  44      99563.645
107  45      99560.140
107  46      99558.127
107  47      99557.589
107  48      99558.502
107  49      99561.425
107  50      99565.974
107  51      99573.330
107  52      99582.942
108  41     100520.970
108  42     100509.255
108  43     100503.583
108  44     100495.340
108  45     100493.466
108  46     100488.469
108  47     100489.883
108  48     100487.734
108  49     100492.363
108  50     100493.910
108  51     100503.032
108  52     100509.193
108  53     100521.823
109  41     101455.320
109  42     101444.839
109  43     101436.717
109  44     101429.757
109  45     101424.992
109  46     101421.881
109  47     101420.265
109  48     101419.976
109  49     101421.488
109  50     101424.844
109  51     101430.721
109  52     101438.754
109  53     101448.294
109  54     101459.295
110  41     102391.194
110  42     102378.456
110  43     102371.460
110  44     102361.917
110  45     102358.657
110  46     102352.651
110  47     102353.021
110  48     102349.627
110  49     102353.001
110  50     102353.126
110  51     102361.016
110  52     102365.733
110  53     102376.997
110  54     102385.036
111  42     103314.553
111  43     103304.964
111  44     103296.699
111  45     103290.675
111  46     103286.490
111  47     103283.757
111  48     103282.216
111  49     103282.573
111  50     103284.524
111  51     103289.123
111  52     103295.870
111  53     103304.001
111  54     103314.057
112  43     104240.223
112  44     104229.347
112  45     104224.742
112  46     104217.648
112  47     104216.883
112  48     104212.388
112  49     104214.469
112  50     104213.302
112  51     104219.855
112  52     104223.384
112  53     104233.386
112  54     104239.921
112  55     104253.155
113  43     105174.165
113  44     105164.604
113  45     105157.200
113  46     105151.873
113  47     105147.934
113  48     105145.414
113  49     105144.587
113  50     105145.123
113  51     105148.531
113  52     105154.098
113  53     105160.824
113  54     105169.238
113  55     105179.175
114  43     106109.870
114  44     106097.744
114  45     106091.751
114  46     106083.467
114  47     106081.524
114  48     106075.936
114  49     106076.878
114  50     106074.385
114  51     106079.946
114  52     106082.051
114  54     106095.849
114  55     106107.751
114  56     106116.027
115  43     107043.645
115  44     107033.271
115  45     107024.726
115  46     107018.026
115  47     107012.966
115  48     107009.361
115  49     107007.406
115  50     107006.405
115  51     107008.933
115  52     107013.371
115  53     107018.594
115  54     107025.773
116  44     107966.885
116  45     107959.714
116  46     107950.115
116  47     107946.900
116  48     107940.227
116  49     107940.186
116  50     107936.407
116  51     107940.608
116  52     107941.659
116  53     107948.933
116  54     107952.877
117  44     108902.959
117  45     108893.047
117  46     108885.016
117  47     108878.755
117  48     108874.015
117  49     108870.987
117  50     108869.029
117  51     108870.285
117  52     108873.326
117  53     108877.484
117  54     108883.232
117  55     108890.423
117  56     108898.957
118  45     109828.551
118  46     109817.546
118  47     109812.877
118  48     109805.226
118  49     109804.196
118  50     109799.268
118  51     109802.422
118  52     109802.219
118  53     109808.443
118  54     109810.833
